produto;descricao;b_o;mat_med;fornecedor;comprador;primeira_filial_rota;filial_dest;sigla_dest;empresa_dest;grupo_tributacao;flag_tributacao;rota;codigo;gui_semana_saida;gui_semana_chegada;modo_compra;dia_sugerido_pedido;qtd_comprada;preco_total;status
680;ATADURA ALG. ORT. 10CM X 1.0M PCT 12 CREMER 156775;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;214;1346.06;-
701;ATADURA ALG. ORT. 15CM X 1.0M PCT C/12 CREMER 156799;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;389;3555.46;-
701;ATADURA ALG. ORT. 15CM X 1.0M PCT C/12 CREMER 156799;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;601;5493.14;-
701;ATADURA ALG. ORT. 15CM X 1.0M PCT C/12 CREMER 156799;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;199;2119.85;-
701;ATADURA ALG. ORT. 15CM X 1.0M PCT C/12 CREMER 156799;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;596;6348.89;-
710;ATADURA ALG. ORT. 20CM X 1.0M PCT C/12 CREMER 172058;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;253;3058.77;-
710;ATADURA ALG. ORT. 20CM X 1.0M PCT C/12 CREMER 172058;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;79;955.11;-
710;ATADURA ALG. ORT. 20CM X 1.0M PCT C/12 CREMER 172058;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;441;5331.69;-
744;ATADURA CREPE 10CMX3.0M(1.25M) 13F PCT C/12 CYSNE;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 12%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;189;1627.29;-
825;CAMPO OP 45X50 C/50 38G N/EST. S/FIO ALVA 158595;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 12%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;137;15202.89;-
833;CAMPO OP 23X25 C/50 10G N/EST. S/FIO ALVA 158557;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;8;344.25;-
833;CAMPO OP 23X25 C/50 10G N/EST. S/FIO ALVA 158557;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;68;2926.1;-
833;CAMPO OP 23X25 C/50 10G N/EST. S/FIO ALVA 158557;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;146;6010.82;-
833;CAMPO OP 23X25 C/50 10G N/EST. S/FIO ALVA 158557;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;136;5599.12;-
850;FITA ADESIVA 16MMX50M ROLO;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;931;3031.34;-
850;FITA ADESIVA 16MMX50M ROLO;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;820;2669.92;-
850;FITA ADESIVA 16MMX50M ROLO;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;1896;5991.36;-
850;FITA ADESIVA 16MMX50M ROLO;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;1679;5305.64;-
868;FITA ADESIVA 19MMX50M ROLO;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;1088;4264.96;-
868;FITA ADESIVA 19MMX50M ROLO;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;959;3759.28;-
868;FITA ADESIVA 19MMX50M ROLO;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S4 (01/03/2025 - 09/03/2025);S6 (17/03/2025 - 23/03/2025);Direta;45723;3870;14280.3;-
914;ESPARADRAPO 10CMX4.5M CREMER 198973;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 12%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;2030;17214.4;-
914;ESPARADRAPO 10CMX4.5M CREMER 198973;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 12%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;1854;15721.92;-
914;ESPARADRAPO 10CMX4.5M CREMER 198973;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 12%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;9923;79185.54;-
914;ESPARADRAPO 10CMX4.5M CREMER 198973;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 12%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;8882;70878.36;-
1325;COMPRESSA DE GAZE C/10 7.5X7.5 11F EST. ETO CREMER 194586;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 12%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;109589;88767.09;-
1331;Q-SYTE DISPOSITIVO LUER DE ACESSO FECHADO IV;Não;MAT;BD MS;JONNATHAN;1002;1002;Mafra - LDA;Mafra;Importado;I1;1002;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;12;55.92;-
1331;Q-SYTE DISPOSITIVO LUER DE ACESSO FECHADO IV;Não;MAT;BD MS;JONNATHAN;1006;1006;Mafra - CAJ;Mafra;Importado;I1;1006;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;249;1357.05;-
1331;Q-SYTE DISPOSITIVO LUER DE ACESSO FECHADO IV;Não;MAT;BD MS;JONNATHAN;1006;1006;Mafra - CAJ;Mafra;Importado;I1;1006;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;270;1471.5;-
1331;Q-SYTE DISPOSITIVO LUER DE ACESSO FECHADO IV;Não;MAT;BD MS;JONNATHAN;1010;1010;Mafra - REC;Mafra;Importado;I1;1010;0;S1 (10/02/2025 - 16/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45702;688;3206.08;-
1331;Q-SYTE DISPOSITIVO LUER DE ACESSO FECHADO IV;Não;MAT;BD MS;JONNATHAN;1036;1036;Mafra - DF2;Mafra;Importado;I1;1036;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;8;37.28;-
1369;TEGADERM BASIC 3M 06X07CM 1620BR CX/100;Não;MAT;3M;JONNATHAN;1010;1010;Mafra - REC;Mafra;Importado;I1;1010;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;39;39;-
1369;TEGADERM BASIC 3M 06X07CM 1620BR CX/100;Não;MAT;3M;JONNATHAN;1010;1010;Mafra - REC;Mafra;Importado;I1;1010;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;16;16;-
1375;STELARA 45MG FA 0.5ML JANSSEN-CILAG (G);Não;MED;JANSSEN;ELISETE;1021;1021;Mafra - NSR;Mafra;Nacional 7%;T1;1021;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;2;30047.38;-
1375;STELARA 45MG FA 0.5ML JANSSEN-CILAG (G);Não;MED;JANSSEN;ELISETE;1021;1021;Mafra - NSR;Mafra;Nacional 7%;T1;1021;0;S4 (01/03/2025 - 09/03/2025);S5 (10/03/2025 - 16/03/2025);Direta;45717;4;60094.76;-
1375;STELARA 45MG FA 0.5ML JANSSEN-CILAG (G);Não;MED;JANSSEN;ELISETE;1021;1021;Mafra - NSR;Mafra;Nacional 7%;T1;1021;0;S5 (10/03/2025 - 16/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45730;2;30047.38;-
1375;STELARA 45MG FA 0.5ML JANSSEN-CILAG (G);Não;MED;JANSSEN;ELISETE;1036;1036;Mafra - DF2;Mafra;Nacional 7%;T1;1036;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;1;14216.42;-
1375;STELARA 45MG FA 0.5ML JANSSEN-CILAG (G);Não;MED;JANSSEN;ELISETE;1036;1036;Mafra - DF2;Mafra;Nacional 7%;T1;1036;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;1;14216.42;-
1375;STELARA 45MG FA 0.5ML JANSSEN-CILAG (G);Não;MED;JANSSEN;ELISETE;1036;1036;Mafra - DF2;Mafra;Nacional 7%;T1;1036;0;S4 (01/03/2025 - 09/03/2025);S5 (10/03/2025 - 16/03/2025);Direta;45717;2;28432.84;-
1418;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;Não;MED;ASTRAZENECA;BYANCA;1006;1006;Mafra - CAJ;Mafra;Importado;NT;1006;0;S4 (01/03/2025 - 09/03/2025);S6 (17/03/2025 - 23/03/2025);Direta;45723;210;25741.8;-
1418;SELOKEN 1MG/ML CX 5AMP 5ML ASTRAZENECA;Não;MED;ASTRAZENECA;BYANCA;1036;1036;Mafra - DF2;Mafra;Importado;NT;1036;0;S4 (01/03/2025 - 09/03/2025);S6 (17/03/2025 - 23/03/2025);Direta;45723;68;8335.44;-
1490;HYPLEX B CX 100AMP 2ML HYPOFARMA;B.O. Total;MED;HYPOFARMA;ALESSANDRO;1002;1002;Mafra - LDA;Mafra;Nacional 7%;NT;1002;0;S4 (01/03/2025 - 09/03/2025);S6 (17/03/2025 - 23/03/2025);Direta;45723;3;294;-
1490;HYPLEX B CX 100AMP 2ML HYPOFARMA;B.O. Total;MED;HYPOFARMA;ALESSANDRO;1036;1036;Mafra - DF2;Mafra;Nacional 7%;NT;1036;0;S4 (01/03/2025 - 09/03/2025);S6 (17/03/2025 - 23/03/2025);Direta;45723;17;1666;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1002;1002;Mafra - LDA;Mafra;Nacional 7%;I2;1002;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;27;456.3;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1002;1002;Mafra - LDA;Mafra;Nacional 7%;I2;1002;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;43;726.7;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1002;1002;Mafra - LDA;Mafra;Nacional 7%;I2;1002;0;S5 (10/03/2025 - 16/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45730;14;236.6;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1006;1006;Mafra - CAJ;Mafra;Nacional 7%;I2;1006;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;270;372.6;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1006;1006;Mafra - CAJ;Mafra;Nacional 7%;I2;1006;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;270;372.6;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1006;1006;Mafra - CAJ;Mafra;Nacional 7%;I2;1006;0;S4 (01/03/2025 - 09/03/2025);S6 (17/03/2025 - 23/03/2025);Direta;45723;135;186.3;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1006;1006;Mafra - CAJ;Mafra;Nacional 7%;I2;1006;0;S5 (10/03/2025 - 16/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45730;134;184.92;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1010;1010;Mafra - REC;Mafra;Nacional 7%;I2;1010;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;32;512.64;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1010;1010;Mafra - REC;Mafra;Nacional 7%;I2;1010;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;27;432.54;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1010;1010;Mafra - REC;Mafra;Nacional 7%;I2;1010;0;S5 (10/03/2025 - 16/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45730;13;208.26;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I2;1021;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;77;1295.14;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I2;1021;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;161;2708.02;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I2;1021;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;53;891.46;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I2;1036;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;253;4027.76;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I2;1036;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;342;5444.64;-
1630;HIRUDOID 3MG/G POMADA BG 40G DAIICHI SANKYO;Não;MED;DAIICHI;ANDREW;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I2;1036;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;113;1798.96;-
1675;MICOFENOLATO MOFETILA 500MG CX 50CPR ACCORD;B.O. Total;MED;ACCORD;FERNANDA;1023;1023;Mafra - RJ;Mafra;Importado;I2;1023;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;1;190;-
1675;MICOFENOLATO MOFETILA 500MG CX 50CPR ACCORD;B.O. Total;MED;ACCORD;FERNANDA;1023;1023;Mafra - RJ;Mafra;Importado;I2;1023;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;1;190;-
1675;MICOFENOLATO MOFETILA 500MG CX 50CPR ACCORD;B.O. Total;MED;ACCORD;FERNANDA;1036;1036;Mafra - DF2;Mafra;Importado;I2;1036;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;1;190;-
1701;CLORIDRATO IRINOTECANO 20MG/ML FA 5ML ACCORD;B.O. Total;MED;ACCORD;FERNANDA;1006;1006;Mafra - CAJ;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1006;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;22;770;-
1701;CLORIDRATO IRINOTECANO 20MG/ML FA 5ML ACCORD;B.O. Total;MED;ACCORD;FERNANDA;1006;1006;Mafra - CAJ;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1006;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;33;1155;-
1701;CLORIDRATO IRINOTECANO 20MG/ML FA 5ML ACCORD;B.O. Total;MED;ACCORD;FERNANDA;1006;1006;Mafra - CAJ;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1006;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;10;350;-
1701;CLORIDRATO IRINOTECANO 20MG/ML FA 5ML ACCORD;B.O. Total;MED;ACCORD;FERNANDA;1010;1010;Mafra - REC;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1010;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;8;280;-
1701;CLORIDRATO IRINOTECANO 20MG/ML FA 5ML ACCORD;B.O. Total;MED;ACCORD;FERNANDA;1010;1010;Mafra - REC;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1010;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;25;875;-
1701;CLORIDRATO IRINOTECANO 20MG/ML FA 5ML ACCORD;B.O. Total;MED;ACCORD;FERNANDA;1021;1021;Mafra - NSR;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1021;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;41;1435;-
1701;CLORIDRATO IRINOTECANO 20MG/ML FA 5ML ACCORD;B.O. Total;MED;ACCORD;FERNANDA;1021;1021;Mafra - NSR;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1021;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;29;1015;-
1701;CLORIDRATO IRINOTECANO 20MG/ML FA 5ML ACCORD;B.O. Total;MED;ACCORD;FERNANDA;1023;1023;Mafra - RJ;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1023;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;23;805;-
1701;CLORIDRATO IRINOTECANO 20MG/ML FA 5ML ACCORD;B.O. Total;MED;ACCORD;FERNANDA;1023;1023;Mafra - RJ;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1023;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;7;245;-
1701;CLORIDRATO IRINOTECANO 20MG/ML FA 5ML ACCORD;B.O. Total;MED;ACCORD;FERNANDA;1036;1036;Mafra - DF2;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1036;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;87;3045;-
1701;CLORIDRATO IRINOTECANO 20MG/ML FA 5ML ACCORD;B.O. Total;MED;ACCORD;FERNANDA;1036;1036;Mafra - DF2;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1036;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;182;6370;-
1701;CLORIDRATO IRINOTECANO 20MG/ML FA 5ML ACCORD;B.O. Total;MED;ACCORD;FERNANDA;1036;1036;Mafra - DF2;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1036;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;60;2100;-
1815;DACOGEN 50MG FA JANSSEN-CILAG (G);Não;MED;JANSSEN;ELISETE;1006;1006;Mafra - CAJ;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1006;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;3;13474.35;-
1815;DACOGEN 50MG FA JANSSEN-CILAG (G);Não;MED;JANSSEN;ELISETE;1006;1006;Mafra - CAJ;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1006;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;6;26948.7;-
1815;DACOGEN 50MG FA JANSSEN-CILAG (G);Não;MED;JANSSEN;ELISETE;1006;1006;Mafra - CAJ;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1006;0;S4 (01/03/2025 - 09/03/2025);S6 (17/03/2025 - 23/03/2025);Direta;45723;3;13474.35;-
1815;DACOGEN 50MG FA JANSSEN-CILAG (G);Não;MED;JANSSEN;ELISETE;1006;1006;Mafra - CAJ;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1006;0;S5 (10/03/2025 - 16/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45730;2;8982.9;-
1815;DACOGEN 50MG FA JANSSEN-CILAG (G);Não;MED;JANSSEN;ELISETE;1021;1021;Mafra - NSR;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1021;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;1;4491.43;-
1815;DACOGEN 50MG FA JANSSEN-CILAG (G);Não;MED;JANSSEN;ELISETE;1021;1021;Mafra - NSR;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1021;0;S4 (01/03/2025 - 09/03/2025);S5 (10/03/2025 - 16/03/2025);Direta;45717;2;8982.86;-
1815;DACOGEN 50MG FA JANSSEN-CILAG (G);Não;MED;JANSSEN;ELISETE;1021;1021;Mafra - NSR;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1021;0;S5 (10/03/2025 - 16/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45730;1;4491.43;-
