codigo;descricao;grp_Marca;d_Grp_Marca;refrig;fornecedor;tributacao;status;curva;bo;comprador
275;PERA P/ APARELHO PRESSAO  REF5086-03;559;WELCY ALLYN;N;-;-;-;C;-;-
276;SOQUETE PRA LAMPADA HPX 2.5V  REF 608125-501;559;WELCY ALLYN;N;-;-;-;C;-;-
277;CABO OTOSCOPIO E OFTALMOSCOPIO 3.5V  71000-C;559;WELCY ALLYN;N;-;-;-;C;-;-
278;K82 - OCUPACIONAL - LATEX (G);603;THERMO FISHER;S;-;-;-;C;-;-
279;KIT BISTURI SS501S C/ACESSORIOS VIVAMED;554;VIVAMED;N;-;-;-;C;-;-
280;AGULHA DESC PRECISION GLIDE 40X12MM CX 100UN BD;67;BECTON DICKINSON MS;N;BD MS;Nacional 7%;Ativo;A;Não;JONNATHAN
281;SERINGA DESC S/AG 10ML L.LOCK UND KDL RETRATIL;268;KDL;N;-;-;-;C;-;-
282;SERINGA DESC S/AG 20ML L.LOCK UND KDL RETRATIL;268;KDL;N;-;-;-;C;-;-
283;BUTTON DE BAIXO PERFIL  18F X 2.4 CM  283;401;P/BARD;N;-;-;-;C;-;-
284;F256 - NOZ (G);603;THERMO FISHER;S;-;-;-;C;-;-
285;SERINGA DESC S/AG 03ML L.LOCK UND KDL RETRATIL;268;KDL;N;-;-;-;C;-;-
286;ENXAGUANTE BUCAL CLOREX 0.12% CARIAX FR 15ML KIN;272;KIN;N;-;-;-;C;-;-
287;AMBU SILIC RECEM NATO C/MASC SEM RESERV REF :4639;432;PROTEC EXPORT;N;-;-;-;C;-;-
288;SONDA URETRAL PEZZER N.32  UNIDADE;54;B/TAYLOR;N;-;-;-;C;-;-
289;NUTREN 2.0 BAUNILHA TETRA 200ML;AB8;NESTLE HEALTH SCIENCE;N;-;-;-;C;-;-
290;FISIOLOGICO 0.9% 1000ML CX 16FR SEG/GLIC REF210044;182;EUROFARMA;N;-;-;-;C;-;-
291;FISIOLOGICO 0.9% 1000ML UNIDADE SEG/GLIC REF210044;182;EUROFARMA;N;-;-;-;C;-;-
292;GLICOSE 05% 1000ML CX C/16 FR SEG/GLICOLREF200054;182;EUROFARMA;N;-;-;-;C;-;-
293;GLICOSE 05% 500ML CX C/25 FR SEG/ GLICOL REF210053;182;EUROFARMA;N;-;-;-;C;-;-
294;PAPEL ULTRASSON TERMOSENS. UPP 110-S SONY MEDIX;335;MEDIX;N;-;-;-;C;-;-
295;PAPEL ULTRASSON TERMOSENS.UPP 110-HG SONY MEDIX;335;MEDIX;N;-;-;-;C;-;-
296;BUTTON DE BAIXO PERFIL  24F X 4.4 CM  296;401;P/BARD;N;-;-;-;C;-;-
297;GLICOSE 05% 1000ML UNIDADE SEG/GLICOLREF200054;182;EUROFARMA;N;-;-;-;C;-;-
298;GLICOSE 05% 500ML UNIDADE SEG REF200053 OL;182;EUROFARMA;N;-;-;-;C;-;-
299;AGULHA DESC PRECISION GLIDE BR 40X1.6MM CX 100UN BD;67;BECTON DICKINSON MS;N;BD MS;Nacional 7%;Ativo;B;Não;JONNATHAN
300;FRASCO A VACUO SIMPLES 500ML;210;FRESENIUS;N;-;-;-;C;-;-
301;FENOL 1L F-RIO (FENOIS SINTETICOS);447;RIOQUIMICA;N;-;-;-;C;-;-
302;F76 - ALFA LACTOALBUMINA (G);603;THERMO FISHER;S;-;-;-;C;-;-
303;ESPARADRAPO 10CMX4.5M HIPOALERGICO;144;CREMER;N;-;-;-;C;-;-
304;CANULA TRAQ DESC S/BL 04.5 MM PED 97640904;66;BCI MEDICAL;N;-;-;-;C;-;-
305;CANULA TRAQ DESC S/BL 04.0 MMPED 97640804;66;BCI MEDICAL;N;-;-;-;C;-;-
306;CANULA TRAQ N0 INOX STAND 06MMX3.0CM CURTA 13621;143;CPL;N;-;-;-;C;-;-
307;CLOREXIDINA 0.5% ALCOOLICA COLOR RIOHEX FR 1L RIOQUIMICA;447;RIOQUIMICA;N;RIOQUIMICA;Importado;Ativo;C;Não;JONNATHAN
308;COMPRESSA NEUROCIRURGICA(COTONOIDE)13X76MM 0010005;92;BIOTEC;N;-;-;-;C;-;-
309;COMPRESSA NEUROCIRURGICA(COTONOIDE)19X19MM 0010006;92;BIOTEC;N;-;-;-;C;-;-
310;AGULHA ANES RAQ SPINAL 26GX3 1/2 CX 25UN BD REF408380;67;BECTON DICKINSON MS;N;BD MS;Importado;Ativo;B;Não;JONNATHAN
311;CANULA TRAQ N2 INOX STAND 08MMX4.0CM CURTA 13620;143;CPL;N;-;-;-;C;-;-
312;IRRIGADOR P/ BOLSA SORO SISTEMA FECHADO 160MM UNID;92;BIOTEC;N;-;-;-;C;-;-
313;CANULA TRAQ N0 CROMADA 06MMX3.0CM CURTA 13300;143;CPL;N;-;-;-;C;-;-
314;COMPRESSA NEUROCIRURGICA(COTONOIDE)76X76MM 0010012;92;BIOTEC;N;-;-;-;C;-;-
315;CANULA TRAQ N1 CROMADA 07MMX3.5CM CURTA 13349;143;CPL;N;-;-;-;C;-;-
316;CANULA TRAQ N2 CROMADA 08MMX4.0CM CURTA 13350;143;CPL;N;-;-;-;C;-;-
317;BRACADEIRA AD F.VELCRO GR. NYLON OBESSO BREGNVEL;14;ACCUMED;N;-;-;-;C;-;-
318;CATETER URETERAL CILIND CH6 70CM C/MANDRIL94620604;66;BCI MEDICAL;N;-;-;-;C;-;-
319;GEL P/ ECG 5KG GALAO VIC;551;VIC PHARMA;N;-;-;-;C;-;-
320;CANULA TRAQ DESC S/BL 05.0 97511004;66;BCI MEDICAL;N;-;-;-;C;-;-
321;AVENE 30 STICK;411;PIERRE FABRE;N;-;-;-;C;-;-
322;AVENE EMULSAO 30+SPF TB 50ML;411;PIERRE FABRE;N;-;-;-;C;-;-
323;COMPRESSA NEUROCIRURGICA(COTONOIDE)30X70MM 0010010;92;BIOTEC;N;-;-;-;C;-;-
324;COMPRESSA NEUROCIRURGICA(COTONOIDE)25X76MM 0010009;92;BIOTEC;N;-;-;-;C;-;-
325;IRRIGADOR P/ BOLSA SORO SISTEMA FECHADO 220MM UNID;92;BIOTEC;N;-;-;-;C;-;-
326;KIT  EMULSAO AVENE UVA 50 ML+AG.TERMAL 50ML;411;PIERRE FABRE;N;-;-;-;C;-;-
327;COMPRESSA NEUROCIRURGICA(COTONOIDE)13X25MM 0010002;92;BIOTEC;N;-;-;-;C;-;-
328;COMPRESSA NEUROCIRURGICA(COTONOIDE)13X38MM 0010003;92;BIOTEC;N;-;-;-;C;-;-
329;AGULHA ANES RAQ SPINAL 27GX3 1/2 CX 25UN BD REF408381;67;BECTON DICKINSON MS;N;BD MS;Importado;Ativo;A;Não;JONNATHAN
330;ELANCYL REDUTOR DE GORD. P/ ABDOMEN 75ML REF2166E;411;PIERRE FABRE;N;-;-;-;C;-;-
331;COMPRESSA NEUROCIRURGICA(COTONOIDE)13X13MM 0010001;92;BIOTEC;N;-;-;-;C;-;-
332;AVENE PROTETOR SOLAR 50 FPS INFANTIL C/ 200ML;411;PIERRE FABRE;N;-;-;-;C;-;-
333;F232 - OVO ALBUMINA (G);603;THERMO FISHER;S;-;-;-;C;-;-
334;OXIMETRO PORTATIL;382;NONIN;N;-;-;-;C;-;-
335;ALCOOL 70GL GLICERINADO 1L VIC;551;VIC PHARMA;N;-;-;-;C;-;-
336;CANULA TRAQUEO 8.5MM C/BL BCI REF97221704;66;BCI MEDICAL;N;BCI MEDICAL;Importado;Delistado;C;Não;PAULO
337;F245 (G);603;THERMO FISHER;S;-;-;-;C;-;-
338;COMPRESSA NEUROCIRURGICA(COTONOIDE)25X25MM 0010008;92;BIOTEC;N;-;-;-;C;-;-
339;CANULA TRAQUEO 6MM C/BL BCI REF97221204;66;BCI MEDICAL;N;BCI MEDICAL;Importado;Delistado;C;Não;PAULO
340;CANULA TRAQUEO 5.5MM C/BL BCI REF97221104;66;BCI MEDICAL;N;BCI MEDICAL;Importado;Delistado;C;Não;PAULO
341;SULFATO TERBUTALINA 0.5MG/ML CX 100AMP 1ML HIPOLABOR;240;HIPOLABOR;N;HIPOLABOR;Nacional 7%;Delistado;C;Não;-
342;AVENE PROTETOR SOLAR 50 FPS STICK 10G REF5399AV;411;PIERRE FABRE;N;-;-;-;C;-;-
343;ALCOOL 70GL GLICERINADO  ALMOT 100ML VIC;551;VIC PHARMA;N;-;-;-;C;-;-
344;ASPIRADOR CIRURG EXTENSAO 3.0M PONTA CRISTAL3002;92;BIOTEC;N;-;-;-;C;-;-
345;SERINGA DESC 3ML S/AG L LOCK CX 1000UN BD REF990174;67;BECTON DICKINSON MS;N;BD MS;Nacional 7%;Ativo;A;Não;JONNATHAN
346;CLEANANCE SOLAR ALTA PROTECAO 30SPF  50ML;411;PIERRE FABRE;N;-;-;-;C;-;-
347;COMPRESSA NEUROCIRURGICA(COTONOIDE)20X70MM 0010007;92;BIOTEC;N;-;-;-;C;-;-
348;COLETOR UNIV N/EST. C/PA TRANSP 80ML T/BCO CX/250;54;B/TAYLOR;N;-;-;-;C;-;-
349;FRASCO A VACUO 1000ML MAX VAC COLETOR DE DRENAGEM;144;CREMER;N;-;-;-;C;-;-
350;RETEXTURING ACTIVATOR;302;LOREAL;N;-;-;-;C;-;-
351;EXTENSAO ASPIRACAO/IRRIGACAO 4 M 00.02.014;92;BIOTEC;N;-;-;-;C;-;-
352;SHAMPOO;411;PIERRE FABRE;N;-;-;-;C;-;-
353;SERINGA DESC 5ML S/AG L LOCK CX 700UN BD REF990175;67;BECTON DICKINSON MS;N;BD MS;Nacional 7%;Ativo;A;Não;JONNATHAN
354;FRASCO DE ASP. VIAS AEREAS  500 ML ESTERIL 0005004;92;BIOTEC;N;-;-;-;C;-;-
355;ULTRA FACIAL DEFENSE FPS 50;302;LOREAL;N;-;-;-;C;-;-
